student_id,answer_id,subject_id,subject_name,Topic,Subtopic,q_text,q_image,q_text1,model solution,student answer,maximum_mark,mark_awarded,Mistake?,mistake category,topical skill level
192153,109305840,3,Science,Magnets,Recognise a freely suspended magnet rest in a N-S direction,"A compass needle which is allowed to turn freely would always be in line with the____________directions.
<br><br>(1) North-South<br>(2) South-West<br>(3) East-West<br>(4) North-West",,"A compass needle which is allowed to turn freely would always be in line with the____________directions.
<br><br>(1) North-South<br>(2) South-West<br>(3) East-West<br>(4) North-West",A,A,2,2,n,,6
192153,108703359,3,Science,Digestive System,Recognise function of mouth in digestive system,<html><head></head><body><p>Mr Yeo has lost most of his teeth and he needs to put on his dentures (false teeth) before he eats.&nbsp;</p></body></html>,https://attachment.srv.geniebook.com/api/v2/public/files/cGnyhRkmXDXHU6Hf.svg,<html><head></head><body><p>Mr Yeo has lost most of his teeth and he needs to put on his dentures (false teeth) before he eats.&nbsp;</p></body></html>,C,C,2,2,n,,10
192153,110712053,3,Science,Digestive System,Recognise function of gullet in digestive system,"<html><head></head><body><p>Malek described a body part to James.&nbsp;</p><p>He said, “It has strong muscular walls. The muscles contract and relax to push the food down. However, no digestive juice is produced here.”<br><br>Which body part was Malek describing to James?&nbsp;</p><p>(1) mouth<br>(2) gullet<br>(3) stomach<br>(4) small intestine</p></body></html>",,"<html><head></head><body><p>Malek described a body part to James.&nbsp;</p><p>He said, “It has strong muscular walls. The muscles contract and relax to push the food down. However, no digestive juice is produced here.”<br><br>Which body part was Malek describing to James?&nbsp;</p><p>(1) mouth<br>(2) gullet<br>(3) stomach<br>(4) small intestine</p></body></html>",B,B,2,2,n,,10
192153,113825780,3,Science,Digestive System,Recognise function of stomach in digestive system,"<html><head></head><body><p>&nbsp;</p><p>Yasmin recorded the time taken for food B to be completely digested. The results are shown below.</p><table class=""ck-table-resized"" style=""width: 100%; border: 1px black; border-collapse: collapse;"" align=""center""><colgroup><col style=""width:47.64%;""><col style=""width:12.29%;""><col style=""width:13.08%;""><col style=""width:13.1%;""><col style=""width:13.89%;""></colgroup><tbody><tr><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;""><strong>Result</strong></td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;""><strong>W</strong></td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;""><strong>X</strong></td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;""><strong>Y</strong></td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;""><strong>Z</strong></td></tr><tr><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">Amount of digestive juice (ml)</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">50</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">100</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">80</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">100</td></tr><tr><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">Time taken for the food to be digested (min)</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">40</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">10</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">27</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">20</td></tr></tbody></table></body></html>",,"<html><head></head><body><p>&nbsp;</p><p>Yasmin recorded the time taken for food B to be completely digested. The results are shown below.</p><table class=""ck-table-resized"" style=""width: 100%; border: 1px black; border-collapse: collapse;"" align=""center""><colgroup><col style=""width:47.64%;""><col style=""width:12.29%;""><col style=""width:13.08%;""><col style=""width:13.1%;""><col style=""width:13.89%;""></colgroup><tbody><tr><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;""><strong>Result</strong></td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;""><strong>W</strong></td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;""><strong>X</strong></td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;""><strong>Y</strong></td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;""><strong>Z</strong></td></tr><tr><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">Amount of digestive juice (ml)</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">50</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">100</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">80</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">100</td></tr><tr><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">Time taken for the food to be digested (min)</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">40</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">10</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">27</td><td style=""border-color: rgb(0, 0, 0); border-width: 1pt; padding: 5pt; text-align: center; border-style: solid;"">20</td></tr></tbody></table></body></html>",<html><head></head><body><p>Result<strong> X</strong>.</p><p><strong>The time taken for the food to be digested is the shortest</strong> and the&nbsp;<strong>size of the food in set-up J was the smallest</strong>. [1]</p><p><strong>Breaking food down into smaller pieces allows more surfaces of the food to be in contact with digestive juices</strong> for faster digestion. [1]</p></body></html>,set-up X it had the most amount of digestive jucies and took a shoter time for the food to be digested.,2,1,y,Stomach function,10
192153,110711263,3,Science,Digestive System,Recognise function of small intestine in digestive system,<html><head></head><body><p>Compare the sizes of the undigested food particles in samples Y and Z. Explain why this is so.&nbsp;</p></body></html>,,<html><head></head><body><p>Compare the sizes of the undigested food particles in samples Y and Z. Explain why this is so.&nbsp;</p></body></html>,"<html><head></head><body><p>The&nbsp;<strong>undigested food in sample Y are bigger / larger than those in food sample Z</strong>. [1]&nbsp;</p><p>This is due to the&nbsp;<strong>digestive juices that break the food down into simpler substances</strong>, which get absorbed by the small intestine. [1]</p></body></html>",Not sure,2,0,y,Unsure response,10
192153,110147990,3,Science,Digestive System,Recognise function of large intestine in digestive system,"<html><head></head><body><p>Jason's father, who has colorectal cancer, was advised by his doctor to have his large intestine removed to prevent the cancer cells from spreading.&nbsp;</p><p>Jason is worried that his father will not be able to digest his food.</p><p>The doctor said that the removal of his large intestine will not have any effect on the digestion of food. Explain why this is so.</p></body></html>",,"<html><head></head><body><p>Jason's father, who has colorectal cancer, was advised by his doctor to have his large intestine removed to prevent the cancer cells from spreading.&nbsp;</p><p>Jason is worried that his father will not be able to digest his food.</p><p>The doctor said that the removal of his large intestine will not have any effect on the digestion of food. Explain why this is so.</p></body></html>",<html><head></head><body><p><strong>Digestion does not take place</strong> in the <strong>large intestine</strong>. [1]</p><p>OR</p><p><strong>Digestion ends</strong> in the <strong>small intestine</strong>. [1]</p></body></html>,the large intestne does not break dwn any food but it only absorb water from the undigested food .,1,1,n,,10
192153,113514435,3,Science,Digestive System,Recognise how food moves through the digestive system,"<html><head></head><body><p>If sample Y was taken from the stomach, where could samples X and Z be taken from?&nbsp;<br><br>Sample X: _________________________</p><p>Sample Z: _________________________</p></body></html>",,"<html><head></head><body><p>If sample Y was taken from the stomach, where could samples X and Z be taken from?&nbsp;<br><br>Sample X: _________________________</p><p>Sample Z: _________________________</p></body></html>",<html><head></head><body><p>Sample X :&nbsp;<strong>mouth / gullet&nbsp;</strong>[1]&nbsp;</p><p>Sample Z :&nbsp;<strong>small intestine / large intestine&nbsp;</strong>[1]&nbsp;</p></body></html>,Sample X will be from the mouth and sample Z will be from the small intestine.,2,2,n,,10
192153,116608294,3,Science,Digestive System,Recognise function of digestive system,<html><head></head><body><p>What is the function of the human digestive system?</p></body></html>,,<html><head></head><body><p>What is the function of the human digestive system?</p></body></html>,<html><head></head><body><p>It <strong>breaks food down into simpler substances</strong> [1] to be <strong>absorbed into the bloodstream</strong>. [1]</p><p>OR</p><p>The digestive system <strong>breaks down the food we eat</strong> [1] so that the <strong>food can be used by our body</strong> [1].</p></body></html>,to break down food into simpler substances.,2,1,y,Digestive functions,10
192153,109327322,3,Science,Life Cycles of Plants and Animals,Recognise stages of animals that have a 4-stage life cycle,<html><head></head><body><p>Which one of the following graphs shows the possible amount of food eaten during the different stages in the life cycle of a ladybird?</p></body></html>,https://attachment.srv.geniebook.com/api/v2/public/files/U6kLAKtekw9jhVjk.svg,<html><head></head><body><p>Which one of the following graphs shows the possible amount of food eaten during the different stages in the life cycle of a ladybird?</p></body></html>,C,D,2,0,y,Animal life cycle,8
192153,124657753,3,Science,Life Cycles of Plants and Animals,Identify based on the characteristics of their life cycle*,"<br>
What could Animal A and Animal B be?",,"<br>
What could Animal A and Animal B be?","Animal A - <b>Goldfish</b> / <b>frog</b> / <b>toad</b> /
<b>mosquito</b> [1]<br>
Animal B - <b>Mealworm beetle</b> / <b>butterfly</b> / <b>moth</b>
[1]","A : gold fish 
B : butterfly",2,2,n,,8
192153,125150099,3,Science,Life Cycles of Plants and Animals,Recognise the stages in the life cycle of flowering plants,"<html><head></head><body><p>&nbsp;</p><p>Arrange the stages of development of the flowering plant correctly by writing the letters Q, R, S and T in the correct boxes in the diagram below.&nbsp;</p><p>Use the letter&nbsp;<strong>ONCE</strong> only.&nbsp;</p></body></html>",https://attachment.srv.geniebook.com/api/v2/public/files/SCMCdhOlSuOYYcA2.svg,"<html><head></head><body><p>&nbsp;</p><p>Arrange the stages of development of the flowering plant correctly by writing the letters Q, R, S and T in the correct boxes in the diagram below.&nbsp;</p><p>Use the letter&nbsp;<strong>ONCE</strong> only.&nbsp;</p></body></html>",,"T,R,S,Q",1,1,n,,8
192153,124655856,3,Science,Life Cycles of Plants and Animals,Recognise stages of animals that have a 3-stage life cycle,<html><head></head><body><p>Which of the following statements correctly describes the difference between the young of the chicken and the adult?</p><p>&nbsp;</p><p>(1) The young can grow but the adult cannot.&nbsp;</p><p>(2) The adult has wings but the young does not.</p><p>(3) The young can lay eggs but the adult cannot.&nbsp;</p><p>(4) The adult can lay eggs but the young cannot.</p></body></html>,,<html><head></head><body><p>Which of the following statements correctly describes the difference between the young of the chicken and the adult?</p><p>&nbsp;</p><p>(1) The young can grow but the adult cannot.&nbsp;</p><p>(2) The adult has wings but the young does not.</p><p>(3) The young can lay eggs but the adult cannot.&nbsp;</p><p>(4) The adult can lay eggs but the young cannot.</p></body></html>,D,D,2,2,n,,8
192153,108819978,3,Science,Life Cycles of Plants and Animals,Identify stages in a 3-stage life cycle of insects*,"Which one of the following is the life cycle of grasshopper
correctly drawn?<br>",images/qi/Default Folder/14763a_qsn_img_0_1614935931.png,"Which one of the following is the life cycle of grasshopper
correctly drawn?<br>",D,D,2,2,n,,8
192153,125023727,3,Science,Life Cycles of Plants and Animals,Identify stages in a 4-stage life cycle of insects*,"Study the diagram given below. Write the names of the young in the
boxes provided.<br>",images/qi/Default Folder/1393a_qsn_img_0_1614863169.png,"Study the diagram given below. Write the names of the young in the
boxes provided.<br>","<b>Chick</b> [1], <b>caterpillar</b> [1], <b>tadpole</b> [1]",,3,3,n,,8
192153,110838170,3,Science,Life Cycles of Plants and Animals,Compare life cycles of different animals,"<html><head></head><body><p style=""text-align:justify;"">Which of the following statements best describes a difference between the life cycles of both animals?</p><p style=""text-align:justify;"">(1) The life cycle of a frog has more stages than the life cycle of a grasshopper.</p><p style=""text-align:justify;"">(2) The adult frog only lives in water while the adult grasshopper only lives on land.</p><p style=""text-align:justify;"">(3) The young of the frog lives in water while the young of a grasshopper looks like the adult.</p><p style=""text-align:justify;"">(4) The young of the frog does not look like its adult while the young of a grasshopper looks like its adult.</p></body></html>",,"<html><head></head><body><p style=""text-align:justify;"">Which of the following statements best describes a difference between the life cycles of both animals?</p><p style=""text-align:justify;"">(1) The life cycle of a frog has more stages than the life cycle of a grasshopper.</p><p style=""text-align:justify;"">(2) The adult frog only lives in water while the adult grasshopper only lives on land.</p><p style=""text-align:justify;"">(3) The young of the frog lives in water while the young of a grasshopper looks like the adult.</p><p style=""text-align:justify;"">(4) The young of the frog does not look like its adult while the young of a grasshopper looks like its adult.</p></body></html>",D,D,2,2,n,,8
192153,110131542,3,Science,Life Cycles of Plants and Animals,Compare characteristics of stages in life cycle of animal*,"If stage V represents the adult stage of the moth, give one
difference in characteristics between stages T and U.",,"If stage V represents the adult stage of the moth, give one
difference in characteristics between stages T and U.","Any one of the following:<br>
<br>
At stage T, the larva <b>moves</b> but at stage U, the pupa <b>does
not move</b>.<br>
<br>
At stage T, the larva <b>feeds</b> but at stage U, the pupa <b>does
not feed</b>.<Br><br>
At stage T, the larva <b>moults</b> but at stage U, the pupa <b>does not moult</b>.",in stage U the mot is in egg stage but in stage T it is adult stage .,1,0,y,Animal life cycle,8
192153,108904062,3,Science,Life Cycles of Plants and Animals,Understand the life cycle of plants & respective stages*,"Farmer Tan wants to grow corn in his farm. He wants to harvest the
corn as quickly as possible. Which corn type, X or Y should he
plant in his farm?",,"Farmer Tan wants to grow corn in his farm. He wants to harvest the
corn as quickly as possible. Which corn type, X or Y should he
plant in his farm?",Corn type <b>Y</b>.,Life cycle of corn type Y,1,1,n,,8
192153,125241387,3,Science,Life Cycles of Plants and Animals,Understand the germination process and the conditions*,"Joey performed an experiment on 10g of green beans.<br>
Refer to her results shown below to answer the following question.",images/qi/Default Folder/14731a_qsn_img_0_1387179593.png,"Joey performed an experiment on 10g of green beans.<br>
Refer to her results shown below to answer the following question.",A,B,2,0,y,Germination conditions,8
192153,108819930,3,Science,Life Cycles of Plants and Animals,Recognise what cycles are,"Which one of the following does not follow a cycle?<br>
<br>
(1) Day and night<br>
(2) Seasonal changes<br>
(3) Development of an egg into a hen<br>
(4) Movement of clouds across the sky<br>",,"Which one of the following does not follow a cycle?<br>
<br>
(1) Day and night<br>
(2) Seasonal changes<br>
(3) Development of an egg into a hen<br>
(4) Movement of clouds across the sky<br>",D,D,2,2,n,,8
192153,124105506,3,Science,Matter,Identify what matter is,"<html><head></head><body><p>Clarice placed three objects, one at a time into a beaker of water as shown in the diagram below.</p></body></html>",https://attachment.srv.geniebook.com/api/v2/public/files/K0qILjUDAnSZ9d6l.svg,"<html><head></head><body><p>Clarice placed three objects, one at a time into a beaker of water as shown in the diagram below.</p></body></html>",B,B,2,2,n,,8
192153,118952341,3,Science,Matter,Recognise the properties of a solid,<html><head></head><body><p>Identify the state of matter that the iron block is in.&nbsp;</p></body></html>,,<html><head></head><body><p>Identify the state of matter that the iron block is in.&nbsp;</p></body></html>,<html><head></head><body><p>Solid</p></body></html>,the iron block occupied space,1,0,y,Solid properties,8
192153,124276684,3,Science,Matter,Recognise the properties of a liquid,"In which group (W, X or Y) should Peter place 'sand'? Why?",,"In which group (W, X or Y) should Peter place 'sand'? Why?",Group <b>W</b>. The things in Group <b>W are solids</b> and <b>sand is a solid</b>.,"group W , because sand is a solid .",1,1,n,,8
192153,124710169,3,Science,Matter,Recognise the properties of a gas,<html><head></head><body><p>He noticed that the water in the funnel dripped into the conical flask slowly instead of flowing into the conical flask quickly.</p><p>Explain why the water dripped down slowly. &nbsp; &nbsp;&nbsp;</p></body></html>,,<html><head></head><body><p>He noticed that the water in the funnel dripped into the conical flask slowly instead of flowing into the conical flask quickly.</p><p>Explain why the water dripped down slowly. &nbsp; &nbsp;&nbsp;</p></body></html>,"<html><head></head><body><p><strong>Air occupied space</strong> in the flask. [1]</p><p>Since&nbsp;<strong>air can be compressed</strong>, the water dripped in slowly to&nbsp;<strong>occupy some space</strong> in the flask. [1]</p></body></html>",the water dripped slowly into the conical flask as there was nowhere for theair  nside he conical flask to go out so it had to push its way out with the water therefore he should make an opening because the air can go out of the conical flask and the water can go in faster .,2,0,y,Gas properties,8
192153,118825259,3,Science,Matter,Identify states of objects based on melting/ boiling point*,"The table below shows the states of four substances W, X, Y and Z
at different temperatures.<br>",images/qi/Default Folder/1457a_qsn_img_0_1393950672.png,"The table below shows the states of four substances W, X, Y and Z
at different temperatures.<br>",C,C,2,2,n,,8
192153,124277513,3,Science,Matter,Recognise how to measure mass & volume of matter,"<html><head></head><body><p>Ahmad used another balance to carry out an experiment with four different blocks, P, Q, R and S. The observations are shown below.</p></body></html>",https://attachment.srv.geniebook.com/api/v2/public/files/czYg9TBAepPtFIy0.svg,"<html><head></head><body><p>Ahmad used another balance to carry out an experiment with four different blocks, P, Q, R and S. The observations are shown below.</p></body></html>",,"S,Q,R",1,0,y,Measuring mass/volume,8
192153,115953023,3,Science,Heat & Effects of Heat,Recognise how heat flows from one region to another,Some ice cubes were dropped into a beaker of hot tea.,images/qi/Default Folder/17430a_qsn_img_0_1612323267.png,Some ice cubes were dropped into a beaker of hot tea.,B,A,2,0,y,Heat flow direction,4
192153,122606295,3,Science,Heat & Effects of Heat,Recognise heat gain by an object will result in expansion,"The table below shows the expansion of certain metals when heated to 100$^\circ$C.
<br>",images/qi/Default Folder/17445a_qsn_img_0_1611805571.png,"The table below shows the expansion of certain metals when heated to 100$^\circ$C.
<br>",C,A,2,0,y,Expansion on heating,4
192153,122606238,3,Science,Heat & Effects of Heat,Contraction due to heat loss*,"Peter set up the following apparatus. He wrapped a piece of hot
cloth around the bottom of the conical flask as shown in the
diagram below.<br>",images/qi/Default Folder/7255a_qsn_img_0_1574683010.png,"Peter set up the following apparatus. He wrapped a piece of hot
cloth around the bottom of the conical flask as shown in the
diagram below.<br>",B,C,2,0,y,Concept gap,4
192153,115653621,3,Science,Heat & Effects of Heat,Recognise sources & non-sources of heat,The Sun is important to us because it provides ____________________.<br><br>A: animals with oxygen<br>B: light for plants to make food<br>C: living things with oxygen<br>D: living things with heat and light<br><br>(1) A and B<br>(2) B and D<br>(3) A and C<br>(4) C and D,,The Sun is important to us because it provides ____________________.<br><br>A: animals with oxygen<br>B: light for plants to make food<br>C: living things with oxygen<br>D: living things with heat and light<br><br>(1) A and B<br>(2) B and D<br>(3) A and C<br>(4) C and D,B,B,2,2,n,,4
192153,115655520,3,Science,Heat & Effects of Heat,Recognise temperature is a measurement of degree of hotness,<html><head></head><body><p>Sherry wants to measure the temperature of cold water in a beaker.</p><p>Which one of the following diagrams show the correct position of the thermometer when taking the temperature reading?</p></body></html>,https://attachment.srv.geniebook.com/api/v2/public/files/4g5chAC2wv7tYcRU.svg,<html><head></head><body><p>Sherry wants to measure the temperature of cold water in a beaker.</p><p>Which one of the following diagrams show the correct position of the thermometer when taking the temperature reading?</p></body></html>,D,D,2,2,n,,4
192153,122606487,3,Science,Heat & Effects of Heat,Understand a graph of temperature against time*,Explain your answer in (a).,,Explain your answer in (a).,"Line R shows the cup which <b>lost heat the fastest</b> [1] and it must
be the metal cup as <b>metal is the best conductor of heat</b>
among the other materials and thus <b>would lose heat fastest</b> [1].",n,2,0,y,No response,4
192153,122606487,3,Science,Heat & Effects of Heat,Identify conductors of heat based on rate of heat gain/loss,Explain your answer in (a).,,Explain your answer in (a).,"Line R shows the cup which <b>lost heat the fastest</b> [1] and it must
be the metal cup as <b>metal is the best conductor of heat</b>
among the other materials and thus <b>would lose heat fastest</b> [1].",n,2,0,y,No response,4
192153,122606487,3,Science,Heat & Effects of Heat,Recognise examples & uses of good/poor conductors of heat ,Explain your answer in (a).,,Explain your answer in (a).,"Line R shows the cup which <b>lost heat the fastest</b> [1] and it must
be the metal cup as <b>metal is the best conductor of heat</b>
among the other materials and thus <b>would lose heat fastest</b> [1].",n,2,0,y,No response,4
192153,115656374,3,Science,Heat & Effects of Heat,Recognise the difference between heat & temperature,"<html><head></head><body><p>&nbsp;</p><p>In another experiment, Jenny placed four similar eggs into four beakers containing different volumes of water at different temperatures.&nbsp;</p></body></html>",https://attachment.srv.geniebook.com/api/v2/public/files/CxVukPNgvsdYZut8.svg,"<html><head></head><body><p>&nbsp;</p><p>In another experiment, Jenny placed four similar eggs into four beakers containing different volumes of water at different temperatures.&nbsp;</p></body></html>","<html><head></head><body><p>Set-up&nbsp;<strong>C</strong>.&nbsp;</p><p>Set-up C contains the&nbsp;<strong>most amount of water</strong> at the&nbsp;<strong>highest temperature</strong>. [1]&nbsp;</p><p>Thus, it has the&nbsp;<strong>most amount of heat energy&nbsp;</strong>to cook the egg the fastest. [1]</p></body></html>","set-up C , it contained the most amount of heat because if it has them most amount of heat then it will be able to be cooked in the shortest time",2,2,n,,4
192153,115653991,3,Science,Heat & Effects of Heat,Recognise factors that affect amount of heat an object has,"Susie filled four identical glasses with different amounts of tap
water at different temperatures. Which of the following glasses of
water had the most heat?<br>",images/qi/Default Folder/17395a_qsn_img_0_1394011134.png,"Susie filled four identical glasses with different amounts of tap
water at different temperatures. Which of the following glasses of
water had the most heat?<br>",D,D,2,2,n,,4
192153,115953023,3,Science,Heat & Effects of Heat,Understand temperature remains constant- changes of state*,Some ice cubes were dropped into a beaker of hot tea.,images/qi/Default Folder/17430a_qsn_img_0_1612323267.png,Some ice cubes were dropped into a beaker of hot tea.,B,A,2,0,y,States of matter,4
192153,122606461,3,Science,Heat & Effects of Heat,Recognise heat gain by matter can result in change of state,What change of state occurs in the ice blocks after 1 hour?,,What change of state occurs in the ice blocks after 1 hour?,The ice block changes from <b>solid state to liquid state</b>.,melting,1,0,y,Concept gap,4
192153,122719354,3,Science,Light & Shadows,Describe how light enables us to see different objects,Which one of the following statements about energy is false?<br><br>(1) Light is a form of energy.<br>(2) Light energy allows us to see.<br>(3) Light energy has shape and occupies space.<br>(4) Light energy can be reflected by an object into our eyes.,,Which one of the following statements about energy is false?<br><br>(1) Light is a form of energy.<br>(2) Light energy allows us to see.<br>(3) Light energy has shape and occupies space.<br>(4) Light energy can be reflected by an object into our eyes.,C,C,2,2,n,,8
192153,124395716,3,Science,Light & Shadows,Recognise property of materials based on transparency ,"The classification chart below grouped objects based on the amount
of light that can pass through each object. Place the following
objects in the appropriate group in the classification chart below.",images/qi/Default Folder/1259a_qsn_img_0_1594884247.png,"The classification chart below grouped objects based on the amount
of light that can pass through each object. Place the following
objects in the appropriate group in the classification chart below.",,"group A : frosted glass 
group B : glass beaker 
group C : drawing block , mirror",2,2,n,,8
192153,124395716,3,Science,Light & Shadows,Identify materials which allow some light to pass through*,"The classification chart below grouped objects based on the amount
of light that can pass through each object. Place the following
objects in the appropriate group in the classification chart below.",images/qi/Default Folder/1259a_qsn_img_0_1594884247.png,"The classification chart below grouped objects based on the amount
of light that can pass through each object. Place the following
objects in the appropriate group in the classification chart below.",,"group A : frosted glass 
group B : glass beaker 
group C : drawing block , mirror",2,2,n,,8
